age,attrition,businesstravel,dailyrate,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,remotework,monthlysalary,annualsalary
51,no,unknown,629.28,6,Grado,unknown,162,1,hombre,51,3,5, research director ,3,,,6462,7,no,13,3,3,0,0,5,3,20,15,15,19537,1972,yes,13844.16,164242.08
52,no,unknown,643.08,1,Master,life sciences,259,3,hombre,65,2,5, manager ,3,,,5678,0,,14,3,1,1,34,5,3,33,11,9,19999,1971,yes,14147.76,167843.88
42,no,travel_rarely,489.44,4,FP,technical degree,319,3,hombre,58,3,5, manager ,4,married,,4933,1,no,11,3,4,0,22,3,0,22,11,15,19232,1981,yes,10767.68,127743.84
47,no,travel_rarely,330.28,2,Master,medical,2069,1,mujer,82,3,4, research director ,3,married,,26703,3,,19,3,2,2,0,2,0,20,5,6,17169,1976,no,7266.160000000001,86203.08
46,no,unknown,1213.48,3,Grado,technical degree,2070,1,mujer,45,4,4, sales executive ,1,divorced,,7739,2,no,12,3,4,1,0,5,3,19,2,8,0,1977,no,26696.56,316718.28
48,no,unknown,107.64,22,Grado,medical,1900,4,mujer,58,3,4, manager ,4,,,2437,3,no,11,3,2,1,0,3,3,22,4,7,17174,1975,yes,2368.08,28094.04
59,no,unknown,1320.2,25,Grado,life sciences,81,1,mujer,99,3,3, sales executive ,1,,,2354,7,,11,3,4,0,28,3,2,21,7,9,0,1964,yes,29044.4,344572.2
42,no,travel_rarely,584.2,1,Secundaria,unknown,387,2,hombre,99,3,2, sales executive ,3,married,,24532,1,no,25,4,3,0,20,3,3,20,11,6,0,1981,no,12852.400000000001,152476.2
41,no,unknown,1173.92,2,Doctorado,unknown,2071,2,mujer,91,3,4, manager ,1,married,,5626,7,no,16,3,2,1,22,2,3,18,11,8,16595,1982,yes,25826.24,306393.12
41,no,travel_frequently,772.8,9,Grado,unknown,999,1,hombre,64,3,5, research director ,3,,,3735,2,no,17,3,2,1,21,2,4,18,0,11,0,1982,no,17001.600000000002,201700.80000000002
41,no,non-travel,227.24,7,Secundaria,unknown,1035,2,mujer,55,1,5, research director ,3,,,20284,1,no,22,4,2,2,0,3,3,21,5,10,19973,1982,no,4999.280000000001,59309.64
56,no,travel_rarely,1259.48,23,Grado,life sciences,2072,4,hombre,68,3,4, manufacturing director ,2,married,,18235,4,yes,12,,1,1,33,0,3,19,15,9,13402,1967,no,27708.56,328724.28
